,index,Speed,Location,County,State,Lat,Lon,Comments,datetime
18,18,65,1 N ABILENE,DICKINSON,KS,38.93,-97.22,SPOTTER ESTIMATING 60-65 MPH WIND GUSTS. (TOP),2023-05-09 19:00:00
19,19,70,5 SSE MILFORD,GEARY,KS,39.1,-96.88,NO REPORTED DAMAGE. (TOP),2023-05-09 19:01:00
20,20,UNK,2 N BURNET,BURNET,TX,30.8,-98.23,DELAYED REPORT FORWARDED VIA LOCAL MEDIA OF A 1 FOOT DIAMETER ELM TREE SNAPPED 2 MILES NORTH OF BURNET... CONSISTENT WITH AN AREA OF HIGHER WINDS EVIDENT ON KGRK RADAR. (EWX),2023-05-09 19:05:00
21,21,76,2 SE MILFORD,GEARY,KS,39.16,-96.9,(TOP),2023-05-09 19:05:00
22,22,UNK,JUNCTION CITY,GEARY,KS,39.03,-96.84,LARGE TREE WITH TRUNK ABOUT 18 TO 24 INCHES IN DIAMETER SNAPPED OFF. (TOP),2023-05-09 19:10:00
23,23,60,FORT RILEY,GEARY,KS,39.07,-96.78,(TOP),2023-05-09 19:17:00
24,24,75,WOODBINE,DICKINSON,KS,38.8,-96.96,SPOTTER USED CALIBRATED WIND ANEMOMETER AND MEASURED WINDS GUST RANGING FROM 70 TO MAX 75MPH. (TOP),2023-05-09 19:22:00
25,25,UNK,1 NNE ALEXANDER CITY,TALLAPOOSA,AL,32.96,-85.94,TREE REPORTED DOWN AT JEFFERSON ST AND 11TH AVE. (BMX),2023-05-09 19:37:00
26,26,UNK,2 E ALEXANDER CITY,TALLAPOOSA,AL,32.94,-85.92,TREE ON AN UNOCCUPIED HOUSE ON 6TH ST EXTENSION. (BMX),2023-05-09 19:38:00
27,27,UNK,ALEXANDER CITY,TALLAPOOSA,AL,32.94,-85.95,SEVERAL REPORTS OF TREES AND POWER LINES DOWN NORTH AND EAST OF ALEXANDER CITY. (BMX),2023-05-09 19:40:00
28,28,UNK,1 NE WALSTONBURG,GREENE,NC,35.61,-77.69,DELAYED REPORT. NC DOT REPORTED A COUPLE OF TREES BLOWN DOWN IN THE NORTHERN PART OF GREENE COUNTY. TIME ESTIMATED BASED ON RADAR AND NEARBY REPORTS. (MHX),2023-05-09 19:52:00
29,29,75,3 S LOST SPRINGS,MARION,KS,38.52,-96.96,WINDS RANGED FROM 70 TO 75 MPH ON VEHICLE ANEMOMETER. (ICT),2023-05-09 19:52:00
30,30,75,2 S LOST SPRINGS,MARION,KS,38.54,-96.96,WINDS RANGED FROM 70 TO 75 MPH ON VEHICLE ANEMOMETER. QUARTER SIZED HAIL REPORTED TOO. (ICT),2023-05-09 19:52:00
31,31,UNK,FARMVILLE,PITT,NC,35.6,-77.59,PUBLIC REPORT OF MULTIPLE TREE LIMBS DOWN. TREE LIMBS HAD A A DIAMETER OF 3 1/2 INCHES. ALSO REPORTS OF DAMAGE TO OUTDOOR STRUCTURES FROM TSTM WIND GUSTS. (MHX),2023-05-09 20:00:00
32,32,60,BURDICK,MORRIS,KS,38.57,-96.85,VEHICLE-MOUNTED ANEMOMETER MEASURED 55 TO 60 MPH WINDS. DELAYED REPORT. (TOP),2023-05-09 20:00:00
33,33,UNK,2 S BELL ARTHUR,PITT,NC,35.56,-77.51,DELAYED REPORT. POWER LINES BLOWN DOWN IN THE BELL ARTHUR AREA. REPORTED VIA THE REFLECTOR. TIME ESTIMATED BASED ON RADAR. (MHX),2023-05-09 20:10:00
34,34,UNK,3 E LAKE MARTIN SUSANNA,TALLAPOOSA,AL,32.78,-85.76,TREE DOWN ACROSS AGRICOLA RD NEAR BARRONS BRIDGE RD. LOCATION IS APPROXIMATE. (BMX),2023-05-09 20:11:00
35,35,60,4 NE MARION,MARION,KS,38.4,-96.97,TRAINED SPOTTER ESTIMATED 50 TO 60 MPH WINDS WITH PEA SIZED HAIL. (ICT),2023-05-09 20:12:00
36,36,66,HYMER,CHASE,KS,38.49,-96.71,DELAYED REPORT. (ICT),2023-05-09 20:15:00
37,37,UNK,3 N ROUNDTREE,PITT,NC,35.53,-77.48,DELAYED REPORT. NUMEROUS TREES UPROOTED. TRAILERS REPORTED FLIPPED ON SPEIGHT SEED FARM ROAD IN THE BALLARDS CROSS ROADS AREA. QUARTER SIZE HAIL REPORTED FOR 10 MINUTES (MHX),2023-05-09 20:18:00
38,38,UNK,3 W VANCEBORO,CRAVEN,NC,35.31,-77.21,WIND DRIVEN HAIL DAMAGE TO SEVERAL MOBILE HOMES ALONG BEAR HOLE ROAD IN VANCEBORO. ADDITIONALLY... A NEARBY BARN WAS BLOWN APART... AND SEVERAL LARGE TREES WERE UPROOTE (MHX),2023-05-09 20:45:00
39,39,UNK,HALF WAY,POLK,MO,37.62,-93.25,DELAYED REPORT. HOUSE PILLAR BLOWN OF FRONT PORCH. PICTURE VIA SOCIAL MEDIA. (SGF),2023-05-09 20:47:00
40,40,UNK,COTTONWOOD FALLS,CHASE,KS,38.37,-96.54,POWERLINES WERE REPORTED DOWN. (ICT),2023-05-09 20:48:00
41,41,UNK,3 NNE JASPER,CRAVEN,NC,35.25,-77.18,LARGE TREES DOWN... AND TOPS TAKEN OUT OF TREES. PORCH ROOF GOT RIPPED OFF. TIME ESTIMATED FROM RADAR. (MHX),2023-05-09 20:52:00
42,42,60,5 NW READING,LYON,KS,38.58,-96.02,ESTIMATED WIND GUSTS 50-60 MPH. TIME ESTIMATED. (TOP),2023-05-09 20:52:00
43,43,65,1 SW ERNUL,CRAVEN,NC,35.24,-77.08,TRAINED SPOTTER REPORTS WIND GUSTS AROUND 60-65 MPH AND PENNY SIZE HAIL NEAR THE INTERSECTION OF HWY 17 AND STATE RD 43. EXTENSIVE TREE DEBRIS IN THE AREA. (MHX),2023-05-09 21:01:00
44,44,65,1 SSE ATHENS,CLARKE,GA,33.95,-83.37,*** 1 INJ *** A TREE FELL ON A PERSON AND INJURED THEM. (FFC),2023-05-09 21:08:00
45,45,UNK,EL DORADO,BUTLER,KS,37.82,-96.86,LARGE TREE BRANCH DOWN ON A TRUCK AND 2 HOUSES IN EL DORADO. BOTH HOUSES HAVE DAMAGE TO THEM. DELAYED REPORT VIA TWITTER PICTURE. (ICT),2023-05-09 21:10:00
46,46,UNK,OSAGE CITY,OSAGE,KS,38.63,-95.83,11 INCH LIMB BLOWN DOWN. (TOP),2023-05-09 21:10:00
47,47,UNK,3 ENE JAMES CITY,CRAVEN,NC,35.08,-76.97,TREES DOWN ON POWER LINES. (MHX),2023-05-09 21:12:00
48,48,65,4 NW LEBO,OSAGE,KS,38.46,-95.9,(TOP),2023-05-09 21:12:00
49,49,UNK,4 E JAMES CITY,CRAVEN,NC,35.07,-76.95,~160 TREES DOWN AT HARBOUR POINTE GOLF CLUB. TIME ESTIMATED FROM RADAR. (MHX),2023-05-09 21:14:00
50,50,UNK,3 ESE CHASE CITY,MECKLENBURG,VA,36.79,-78.42,TREE KNOCKED DOWN BLOCKING THE ROAD AT SWEETWATER LN AND COUNTRY CLUB DR. TIME ESTIMATED FROM RADAR. (AKQ),2023-05-09 21:15:00
51,51,UNK,1 W OAKLAWN,SEDGWICK,KS,37.61,-97.32,UNCONFIRMED REPORT TO 911 THAT POWER LINES ARE DOWN AROUND THE 2300 BLOCK S VICTORIA... WICHITA. LINES WERE DOWN ON A YARD. DELAYED REPORT. (ICT),2023-05-09 21:20:00
52,52,UNK,4 E JAMES CITY,CRAVEN,NC,35.07,-76.96,LARGE PINE TREE SNAPPED IN FAIRFIELD HARBOR. TIME ESTIMATED FROM RADAR. (MHX),2023-05-09 21:21:00
53,53,UNK,2 SSE OLYMPIA,CRAVEN,NC,35.11,-76.96,CORRECTS LOCATION AND TIME OF PREVIOUS TSTM WND DMG REPORT FROM 1 E RIVER ROAD. MULTIPLE TREES DOWN ON BROAD CREEK ROAD. (MHX),2023-05-09 21:22:00
54,54,60,4 SW HAMILTON,GREENWOOD,KS,37.94,-96.22,(ICT),2023-05-09 21:24:00
55,55,60,6 ENE NEW STRAWN,COFFEY,KS,38.29,-95.64,THREE-INCH LIVE TREE LIMBS BLOWN DOWN. TIME ESTIMATED FROM RADAR DATA. DELAYED REPORT. (TOP),2023-05-09 21:24:00
56,56,UNK,2 NNE DOWNTOWN WICHITA,SEDGWICK,KS,37.71,-97.33,CORRECTS TIME FROM PREVIOUS REPORT. PUBLIC REPORT TO DISPATCH OF A TREE FELL THAT ON A HOUSE IN THE 400TH BLOCK AND 15TH STREET. NO INJURIES REPORTED. TIME IS ESTIMATED (ICT),2023-05-09 21:25:00
57,57,73,3 ENE JAMES CITY,AMZ137,NC,35.07,-76.97,PUBLIC MEASURED 73 MPH GUST. (MHX),2023-05-09 21:30:00
58,58,UNK,4 E ROGERS CORNER,MECKLENBURG,VA,36.73,-78.35,TREE KNOCKED DOWN ALONG ALLGOODS LANE. TIME ESTIMATED FROM RADAR. (AKQ),2023-05-09 21:30:00
59,59,60,5 SSE SCRANTON,OSAGE,KS,38.72,-95.72,(TOP),2023-05-09 21:34:00
60,60,73,2 N EUREKA,GREENWOOD,KS,37.85,-96.29,MEASURED AT THE EUREKA AIRPORT. STRONG OUTFLOW OUT AHEAD OF THE LINE. (ICT),2023-05-09 21:35:00
61,61,UNK,1 E RIVER ROAD,BEAUFORT,NC,35.51,-76.97,MULTIPLE TREES DOWN ON BROAD CREEK ROAD. (MHX),2023-05-09 21:36:00
62,62,UNK,4 SW EL DORADO,BUTLER,KS,37.78,-96.91,LARGE TREES KNOCKED DOWN AND SNAPPED IN HALF. (ICT),2023-05-09 21:42:00
63,63,UNK,2 NNE BOWENS CORNER,BRUNSWICK,VA,36.66,-77.95,TREE KNOCKED DOWN ALONG ROBINSON FERRY RD NEAR WHITE PLAINS. TIME ESTIMATED FROM RADAR. (AKQ),2023-05-09 21:45:00
64,64,UNK,EUREKA,GREENWOOD,KS,37.82,-96.29,MINOR TREE DAMAGE AND NUMEROUS 3-4 INCH DIAMETER LIMBS DOWN. DELAYED REPORT. (ICT),2023-05-09 21:46:00
65,65,UNK,1 NNW DOWNTOWN WICHITA,SEDGWICK,KS,37.7,-97.35,TREES BLOWN ONTO HOUSES IN THE 1300 BLOCK N FOREST AND 400 BLOCK N ERIE. PERSON TRAPPED ON SECOND FLOOR OF HOUSE WITH RESCUE IN PROGRESS. (ICT),2023-05-09 21:47:00
66,66,80,3 S OVERBROOK,OSAGE,KS,38.74,-95.56,TREE DAMAGE REPORTED WITH WIND GUSTS. (TOP),2023-05-09 21:47:00
67,67,UNK,5 SW LARNED,PAWNEE,KS,38.12,-99.15,9 POWER POLES WERE BLOWN DOWN AND THERE WAS ALSO EXTENSIVE DAMAGE TO TREES AND OTHER OBJECTS. THE TIME WAS BASED ON RADAR. (DDC),2023-05-09 21:55:00
68,68,UNK,MACON,WARREN,NC,36.44,-78.08,TREES DOWN IN THE MACON AREA. (RAH),2023-05-09 22:03:00
69,69,60,5 E SEVERY,GREENWOOD,KS,37.62,-96.14,(ICT),2023-05-09 22:10:00
70,70,70,6 SE OVERBROOK,FRANKLIN,KS,38.72,-95.48,(TOP),2023-05-09 22:14:00
71,71,UNK,EMERALD ISLE,CARTERET,NC,34.67,-77.04,CARTERET-CRAVEN ELECTRIC COOPERATIVE REPORTED LIMBS ON POWERLINES AT THE INTERSECTION OF BARNES DR. AND SOUND DR. IN EMERALD ISLE. (MHX),2023-05-09 22:15:00
72,72,60,GRENOLA,ELK,KS,37.35,-96.45,DELAYED REPORT. (ICT),2023-05-09 22:15:00
73,73,60,ATLANTA,COWLEY,KS,37.44,-96.77,REPORT OF 60+ MPH WINDS REPORTED BY CL203. (ICT),2023-05-09 22:15:00
74,74,UNK,2 NNE DOWNTOWN WICHITA,SEDGWICK,KS,37.71,-97.33,PUBLIC REPORTS TO 911 OF TREE FELL ON HOUSE 400TH BLOCK AND 15TH STREET NORTH WICHITA. NO INJURIES REPORTED. (ICT),2023-05-09 22:19:00
75,75,60,OSAWATOMIE,MIAMI,KS,38.5,-94.95,(EAX),2023-05-09 22:26:00
76,76,65,PARKER,LINN,KS,38.33,-94.99,(EAX),2023-05-09 22:30:00
77,77,UNK,3 ESE ARCOLA,HALIFAX,NC,36.26,-77.93,TREES DOWN ON POWER LINES. (RAH),2023-05-09 22:38:00
78,78,UNK,4 NE FOUNTAIN INN,LAURENS,SC,34.73,-82.15,APPROXIMATELY 20 TREES DOWN ON PROPERTY. (GSP),2023-05-09 22:45:00
79,79,UNK,BATTLEBORO,NASH,NC,36.05,-77.75,911 CENTER REPORTS NUMEROUS TREES DOWNED ACROSS THE COUNTY... WITH THE GREATEST AMOUNT OF DAMAGE STARTING IN THE BATTLEBORO AREA... WHICH THEN SPREAD SOUTHEASTWARD ACRO (RAH),2023-05-09 22:45:00
80,80,61,3 NW UNIONTOWN,BOURBON,KS,37.88,-95.01,KS MESONET STATION AT UNIONTOWN KS. (SGF),2023-05-09 22:50:00
81,81,60,PLEASANTON,LINN,KS,38.17,-94.71,50 TO 60 MPH WINDS. (EAX),2023-05-09 22:54:00
82,82,80,6 W REDINGTON,BANNER,NE,41.61,-103.41,TRAINED SPOTTER REPORTED VERY STRONG WIND GUSTS WHILE DRIVING. TIME ESTIMATED FROM RADAR. (CYS),2023-05-09 23:05:00
83,83,UNK,1 SSE WILLIAMSTON,MARTIN,NC,35.83,-77.05,REPORT OF TREE DOWN SHORTLY AFTER 7PM. (MHX),2023-05-09 23:10:00
84,84,UNK,1 SW KINGSBORO,EDGECOMBE,NC,35.9,-77.68,ROOF DAMAGE TO A MOBILE HOME. (RAH),2023-05-09 23:15:00
85,85,60,5 WSW REDINGTON,BANNER,NE,41.56,-103.38,TRAINED STORM SPOTTER REPORTED 60 MPH GUSTS. TIME ESTIMATED FROM RADAR. (CYS),2023-05-09 23:15:00
86,86,UNK,RICHARDS,VERNON,MO,37.91,-94.56,ELECTRIC COMPANY REPORTING STORM DAMAGE TO ELECTRICAL LINES NEAR RICHARDS. (SGF),2023-05-09 23:18:00
87,87,UNK,5 SW CONETOE,EDGECOMBE,NC,35.77,-77.52,POWER POLES DOWN ON NC 33 NEAR EDGECOMBE/PITT COUNTY LINE. (RAH),2023-05-09 23:22:00
88,88,58,3 ENE DODGE CITY,FORD,KS,37.77,-99.97,(DDC),2023-05-09 23:24:00
89,89,UNK,1 W VAN HORN,CULBERSON,TX,31.04,-104.85,CORRECTS PREVIOUS NON-TSTM WND DMG REPORT FROM 1 W VAN HORN. CULBERSON COUNTY EM REPORTED POWER OUTAGE IN VAN HORN WITH ROOF DAMAGE TO THE KNIGHTS INN. PHOTOS SHOWED PA (MAF),2023-05-09 23:26:00
90,90,65,CHAUTAUQUA,CHAUTAUQUA,KS,37.03,-96.18,REPORT OF WIND GUSTS OF 60 TO 65 MPH IN THE TOWN THE OF CHAUTAUQUA. (ICT),2023-05-09 23:27:00
91,91,UNK,3 N FALKLAND,PITT,NC,35.74,-77.51,NWS EMPLOYEE REPORTED TREES UPROOTED AND SNAPPED ON HWY 33 W NORTH OF FALKLAND. (MHX),2023-05-09 23:35:00
92,92,60,3 S PRATT,PRATT,KS,37.61,-98.74,(DDC),2023-05-09 23:35:00
93,93,UNK,GIRARD,CRAWFORD,KS,37.51,-94.84,LARGE TREE LIMB DOWN ON HOUSE IN GIRARD. (SGF),2023-05-09 23:40:00
94,94,UNK,PITTSBURG,CRAWFORD,KS,37.41,-94.71,TREE DOWN WITH POWERLINES DOWN IN THE 100 BLOCK OF WEST JEFFERSON IN PITTSBURG. (SGF),2023-05-09 23:50:00
95,95,61,PERSIMMON GAP,BREWSTER,TX,29.66,-103.18,MESONET STATION 72 BIG BEND NP/BREWSTER COUNTY. (MAF),2023-05-09 23:54:00
96,96,UNK,HARWOOD,VERNON,MO,37.96,-94.15,PHONE POLE DOWN IN HARWOOD. (SGF),2023-05-10 00:00:00
97,97,UNK,JASPER,JASPER,MO,37.34,-94.3,LOCAL BUSINESS LOST ONE THIRD OF ROOF. (SGF),2023-05-10 00:05:00
98,98,UNK,3 NW MOUNT PLEASANT,CHARLESTON,SC,32.82,-79.9,SEVERAL TRAILORED SAILBOATS WERE TOSSED AROUND AND ONE LARGE OAK TREE WAS REPORTED BLOWN DOWN. (CHS),2023-05-10 00:07:00
99,99,UNK,4 S OAKTON,BARTON,MO,37.4,-94.36,ELECTRIC COMPANY REPORTING WIDESPREAD OUTAGES DUE TO TREE DAMAGE ACROSS SOUTHERN BARTON COUNTY AND NEAR JASPER. (SGF),2023-05-10 00:10:00
100,100,UNK,4 N MONTEVALLO,VERNON,MO,37.79,-94.11,SEVERAL OUTAGES DUE TO TREE DAMAGE ALONG POWERLINES ACROSS EASTERN VERNON AND WESTERN CEDAR COUNTIES. (SGF),2023-05-10 00:10:00
101,101,UNK,2 NW MOUNT PLEASANT,CHARLESTON,SC,32.82,-79.89,TREE DOWN ON HOBCAW DRIVE. (CHS),2023-05-10 00:11:00
102,102,75,1 E CHARLESTON,CHARLESTON,SC,32.78,-79.93,CHARLESTON HARBOR TIDE GAUGE REPORTED A 65 KNOT OR 75 MPH WIND GUST. (CHS),2023-05-10 00:12:00
103,103,62,4 ESE CHARLESTON,AMZ330,SC,32.75,-79.87,FORT SUMTER WEATHERFLOW SENSOR REPORTED A 54 KNOT WIND GUST. (CHS),2023-05-10 00:13:00
104,104,63,2 ESE CHARLESTON,AMZ330,SC,32.77,-79.91,SHUTES FOLLY WEATHERFLOW SENSOR REPORTED A 55 KNOT WIND GUST. (CHS),2023-05-10 00:13:00
105,105,79,1 SE CHARLESTON,CHARLESTON,SC,32.78,-79.93,REPORT FROM CHARLESTON BRANCH PILOT OFFICE OF WINDS 55 TO 60 KNOTS WITH GUSTS TO 69 KNOTS ON ROOF OF THE BUILDING. (CHS),2023-05-10 00:13:00
106,106,UNK,2 WNW MOUNT PLEASANT,CHARLESTON,SC,32.81,-79.89,CHARLESTON COUNTY DISPATCH REPORTED TREE DOWN AT 7TH AVENUE AND 5TH STREET (CHS),2023-05-10 00:13:00
107,107,UNK,AIRPORT DRIVE,JASPER,MO,37.14,-94.52,NORTH HEIGHTS IN JOPLIN... LARGE TREE DOWN OFF PEARL ST. (SGF),2023-05-10 00:20:00
108,108,68,1 SW PRATT,PRATT,KS,37.63,-98.75,THIS REPORT IS FROM A DAVIS SYSTEM. DV100392. THE TIME WAS BASED ON RADAR. (DDC),2023-05-10 00:30:00
109,109,UNK,PRATT,PRATT,KS,37.65,-98.74,A TREE TOOK DOWN A POWER LINE WHEN IT FELL. THE REPORT IS VIA SOCIAL MEDIA. (DDC),2023-05-10 00:35:00
110,110,UNK,4 WNW VANCEBORO,CRAVEN,NC,35.33,-77.21,REPORT OF TREE DOWN ACROSS NC 118 NEAR BUTLER FORD RD. (MHX),2023-05-10 00:36:00
111,111,UNK,CARTHAGE,JASPER,MO,37.18,-94.31,PUBLIC REPORT OF NUMEROUS TREES DOWN IN CARTHAGE. (SGF),2023-05-10 00:40:00
112,112,UNK,1 ESE CHARLESTON AIRPOR,CHARLESTON,SC,32.89,-80.03,A NWS EMPLOYEE REPORTED A TREE DOWN ON SOUTH AVIATION AVENUE. (CHS),2023-05-10 00:48:00
113,113,59,TULSA,TULSA,OK,36.13,-95.92,MEASURED AT TULSA INT'L AIRPORT. (TSA),2023-05-10 01:04:00
114,114,UNK,2 NW WEST ASHLEY,CHARLESTON,SC,32.82,-80.03,MOST OF A LARGE TREE DOWN DUE TO THUNDERSTORM WINDS. TIME ESTIMATED FROM RADAR. (CHS),2023-05-10 01:05:00
115,115,UNK,TRENT WOODS,CRAVEN,NC,35.09,-77.09,PUBLIC REPORTED LARGE LIMBS DOWN IN THE TRENT WOODS AREA. (MHX),2023-05-10 01:05:00
116,116,UNK,1 NNE MARIONVILLE,LAWRENCE,MO,37.02,-93.63,TREES AND POWERLINES DOWN ON HIGHWAY 14. (SGF),2023-05-10 01:25:00
117,117,UNK,WILLARD,GREENE,MO,37.3,-93.43,911 HAD REPORTS OF DOWN TREES IN WILLARD. (SGF),2023-05-10 01:30:00
118,118,78,5 SSE WILLARD,GREENE,MO,37.23,-93.4,SGF ASOS MEASURED 78 MPH WIND GUST AT SPRINGFIELD AIRPORT. (SGF),2023-05-10 01:31:00
119,119,UNK,SPRINGFIELD,GREENE,MO,37.2,-93.29,SEVERAL TREES AND LIMBS DOWN ACROSS POWERLINES IN MULTIPLE LOCATIONS THROUGHOUT SPRINGFIELD. (SGF),2023-05-10 01:45:00
120,120,UNK,8 SW LARNED,PAWNEE,KS,38.12,-99.22,THIS CORRECTS THE PREVIOUS REPORT FROM 5 SW LARNED ISSUED AT 455 PM. 9 POWER POLES WERE BLOWN DOWN AND THERE WAS EXTENSIVE DAMAGE TO TREES AND OTHER OBJECTS. THE TIME W (DDC),2023-05-10 01:48:00
121,121,UNK,1 NW HURLEY,STONE,MO,36.94,-93.51,ELECTRIC COMPANY REPORTING STORM DAMAGE ACROSS POWER LINES DUE TO WIND ACROSS SERVICE AREA INCLUDING NORTHERN STONE COUNTY. (SGF),2023-05-10 01:50:00
122,122,UNK,2 WSW WICHITA EISENHOWE,SEDGWICK,KS,37.65,-97.47,NWS STORM SURVEY REVEALED SNAPPED BRANCHES OFF OF A BRADFORD PEAR TREE AND DAMAGE TO ANOTHER TREE. TIME IS BASED ON NEARBY AIRPORT OBSERVATION. (ICT),2023-05-10 03:24:00
123,123,62,WICHITA EISENHOWER AIR,SEDGWICK,KS,37.65,-97.43,(ICT),2023-05-10 03:25:00
124,124,64,7 WNW LORENZO,CHEYENNE,NE,41.07,-103.16,MESONET STATION FW8225 SIDNEY. (CYS),2023-05-10 09:30:00
125,0,UNK,2 NW GILT EDGE,TIPTON,TN,35.55,-89.85,JAMESTOWN RD IMPASSABLE DUE TO DOWNED TREES. (MEG),2023-05-10 18:35:00
126,1,UNK,7 ESE CHEROKEE,COLBERT,AL,34.7,-87.86,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 7 ESE CHEROKEE. A TREE WAS KNOCKED DOWN AT 1905 RED ROCK ROAD. TIME ESTIMATED BY RADAR. (HUN),2023-05-10 19:17:00
127,2,UNK,7 ESE CHEROKEE,COLBERT,AL,34.7,-87.86,A TREE WAS KNOCKED DOWN AT 1905 RED ROCK ROAD. (HUN),2023-05-10 19:26:00
128,3,UNK,2 SE PARAGOULD,GREENE,AR,36.04,-90.49,CORRECTS PREVIOUS TSTM WND DMG REPORT FROM 2 SE PARAGOULD. POWER POLES SNAPPED ON SOUTH SECOND AVENUE IN PARAGOULD. TIME IS RADAR ESTIMATED. (MEG),2023-05-10 19:45:00
129,4,68,RATON CREWS AIRPORT,COLFAX,NM,36.73,-104.5,ASOS STATION KRTN RATON CREWS AIRPORT. (ABQ),2023-05-10 20:15:00
130,5,61,3 S CAPULIN,UNION,NM,36.7,-104.0,A PUBLIC WEATHER STATION MEASURED A 61 MPH OUTFLOW GUST JUST SOUTH OF CAPULIN. (ABQ),2023-05-10 20:30:00
131,6,UNK,1 NNW SPRINGFIELD,GREENE,MO,37.2,-93.29,EMERGENCY MANAGER SENT PICTURES VIA EMAIL OF A BENT POWER POLE AND A FEW LARGE TREES THAT FELL DUE TO THUNDERSTORM WIND GUSTS. (SGF),2023-05-10 20:38:00
132,7,UNK,2 NE SHEFFIELD,COLBERT,AL,34.77,-87.67,A TREE WAS KNOCKED DOWN ON HATCH BLVD. AT CRESTLINE AVENUE. TIME ESTIMATED BY RADAR. (HUN),2023-05-10 20:56:00
133,8,UNK,4 NE MUSCLE SHOALS,COLBERT,AL,34.79,-87.61,A TREE WAS KNOCKED DOWN AT 670 GRANDVIEW DRIVE. TIME ESTIMATED BY RADAR. (HUN),2023-05-10 20:58:00
134,9,UNK,1 N HARRISON,BOONE,AR,36.26,-93.12,PICTURE VIA SOCIAL MEDIA SHOWS POWERLINES DOWN. (LZK),2023-05-10 21:06:00
135,10,UNK,1 NNE GUM SPRINGS,NEWTON,AR,35.95,-93.16,PICTURE ON SOCIAL MEDIA SHOWS A LARGE TREE AND POWERLINES DOWN ACROSS A ROAD. (LZK),2023-05-10 21:13:00
136,11,62,2 ENE COLBY,THOMAS,KS,39.4,-101.01,(GLD),2023-05-10 21:15:00
137,12,UNK,KAPLAN,VERMILION,LA,30.0,-92.29,POWER POLE SNAPPED. POWER OUTAGES TO KAPLAN. TIMES ESTIMATED ON RADAR. (LCH),2023-05-10 22:01:00
138,13,61,7 E TUCUMCARI,QUAY,NM,35.18,-103.6,ASOS STATION KTCC TUCUMCARI MUNI AIRPORT. (ABQ),2023-05-10 22:16:00
